Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User - Store,Chrome 76.0.3809.132,,2019-09-13 10:46:07,2019-09-13 10:46:38,30.899s,FAILED
,,,,,,
Test Cases/Dashboard-Store/Create a Trial User,Chrome 76.0.3809.132,,2019-09-13 10:46:07,2019-09-13 10:46:34,27.503s,FAILED
"openBrowser("""")",Chrome 76.0.3809.132,,2019-09-13 10:46:07,2019-09-13 10:46:09,1.596s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 76.0.3809.132,,2019-09-13 10:46:09,2019-09-13 10:46:09,0.492s,PASSED
"navigateToUrl(""https://editor-acceptance.foleon.dev/create-account"")",Chrome 76.0.3809.132,,2019-09-13 10:46:09,2019-09-13 10:46:18,9.002s,PASSED
"executeJavaScript(""localStorage.setItem('X-Api-Override', 'https://api-acceptance.foleon.dev')"", null)",Chrome 76.0.3809.132,,2019-09-13 10:46:18,2019-09-13 10:46:18,0.028s,PASSED
refresh(),Chrome 76.0.3809.132,,2019-09-13 10:46:18,2019-09-13 10:46:18,0.019s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/logo""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:18,2019-09-13 10:46:23,4.990s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/a_privacy policy""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:23,2019-09-13 10:46:23,0.036s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/button_Create account""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:23,2019-09-13 10:46:24,0.022s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/button_Log in here""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.024s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/div_Already have an accountLog in here""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/div_Business email""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/h1_Try Foleon free for 7 days""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/input_Business email_email""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.020s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/input_Password_password""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Already have an accountLog in here""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.022s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Business email""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.019s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/button_Create account""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.014s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Foleon will not share your data for commercial use Check our privacy policy""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.019s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Get occasional blog updates and other inspirational emails""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Get product-related news and features""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Password""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.029s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create account1 - Foleon/span_Log in here""), 2)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.060s,PASSED
"setText(findTestObject(""Object Repository/Page_Create account1 - Foleon/input_Business email_email""), BusinessEmail)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.259s,PASSED
"setText(findTestObject(""Object Repository/Page_Create account1 - Foleon/input_Password_password""), Password)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.118s,PASSED
"click(findTestObject(""Object Repository/Page_Create account1 - Foleon/button_Create account""), STOP_ON_FAILURE)",Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:24,0.134s,PASSED
delay(10),Chrome 76.0.3809.132,,2019-09-13 10:46:24,2019-09-13 10:46:34,10.018s,PASSED
"setText(findTestObject(""Object Repository/Page_Create account2 - Foleon/input_First name_firstName""), FirstName)",Chrome 76.0.3809.132,,2019-09-13 10:46:34,2019-09-13 10:46:34,0.047s,FAILED
,,,,,,
Test Cases/Dashboard-Store/Create a Trial User,Chrome 76.0.3809.132,,2019-09-13 10:46:34,2019-09-13 10:46:38,3.118s,FAILED
"openBrowser("""")",Chrome 76.0.3809.132,,2019-09-13 10:46:34,2019-09-13 10:46:35,1.014s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 76.0.3809.132,,2019-09-13 10:46:35,2019-09-13 10:46:36,0.221s,PASSED
"navigateToUrl(""https://editor-acceptance.foleon.dev/create-account"")",Chrome 76.0.3809.132,,2019-09-13 10:46:36,2019-09-13 10:46:38,1.805s,PASSED
"executeJavaScript(""localStorage.setItem('X-Api-Override', 'https://api-acceptance.foleon.dev')"", null)",Chrome 76.0.3809.132,,2019-09-13 10:46:38,2019-09-13 10:46:38,0.019s,FAILED
